eBird.Hotspot.Name,LOCALITY_ID,Latitude,Longitude,State,Status,area_sqkm,County
Glacier Ridge Metro Park--Honda Wetlands,L1137897,40.1243893,-83.1819105,US-OH,N,0.8493660078491084,Franklin
Crooked River Wetlands Complex,L5987280,44.3165109,-120.897857,US-OR,C,0.55929091521004215,Crook
28th Street wetlands,L999181,27.8720862,-82.6715183,US-FL,C,0.8465676498708651,Pinellas
Frog Pond Wetlands Preserve,L486208,36.5936124,-121.8348974,US-CA,N,0.05721149740699027,Monterey
Lost Creek Wetland (Stevens Point),L1280066,44.5334556,-89.4655323,US-WI,N,1.1163367894085272,Portage
Cross Creek Ranch wetlands,L2508694,29.6986869,-95.8764732,US-TX,C,0.18051573145217448,Fort Bend
San Benito Wetlands  (Mayfield Rd.),L1673684,26.1739485,-97.6235167,US-TX,C,0.07302784897637367,Cameron
Harvey-Wangsness Wetland,L779520,43.2909044,-89.3047929,US-WI,N,0.7889489551023747,Columbia
Jackson-Frazier Wetland,L744337,44.6057461,-123.2376337,US-OR,N,0.7323094952443354,Benton
Teal Ridge Wetland,L219793,36.1000983,-97.0825293,US-OK,N,0.09438470431636088,Payne
Cypress Wetlands,L1645031,32.3817723,-80.6897702,US-SC,N,0.042989267259188925,Beaufort
Lake Waco Wetlands (PPW-W 028),L392281,31.607359,-97.3040521,US-TX,C,0.7003214607790857,McLennan
Cutler Wetlands,L466835,25.5584903,-80.3485966,US-FL,C,0.20451127287990786,Miami-Dade
Marsh Wren Community Wetlands,L6302787,40.885676,-96.657642,US-NE,C,0.5353058769214749,Lancaster
West Regional WTF Wetlands,L585567,27.6131434,-80.5052376,US-FL,C,0.9253664772033338,Indian River
Bartlett Lake Prairie Wetland,L2638508,41.6717477,-88.3521473,US-IL,U,0.14406369598712584,Kendall
Starkey Wetland,L2729411,37.2031626,-80.0018339,US-VA,C,0.04649355349977734,Roanoke
Rockport Demo Bird Garden & Wetlands Pond (CTC 050),L453211,28.0483584,-97.042172,US-TX,U,0.02612573372993432,Aransas
Miami Whitewater Forest--Shaker Trace Wetlands,L210242,39.2782583,-84.7495461,US-OH,U,0.26651684886657817,Hamilton
"Leonora Curtin Wetland Preserve (open on weekends from 9AM to 3PM, May-Oct)",L2828346,35.5650743,-106.102438,US-NM,C,0.10615346459351108,Santa Fe
Butterfield Wetland,L4976203,44.5345942,-123.2580936,US-OR,U,0.040217787478560585,Benton
